line_id,investor_id,date,type,deal_id,amount,currency,reference_id
LN00066,INV004,2025-09-25,Structuring Fee,DEAL003,-440.0,USD,FEE0158
LN00067,INV004,2026-01-15,Management Fee,DEAL001,-960.0,USD,FEE0029
LN00068,INV005,2021-09-01,Capital Contribution,DEAL005,-51000.0,USD,CALL0215
LN00069,INV005,2021-09-01,Structuring Fee,DEAL005,-2550.0,USD,FEE0383
LN00070,INV005,2021-11-05,Capital Contribution,DEAL007,-650000.0,EUR,CALL0292
LN00071,INV005,2021-11-05,Structuring Fee,DEAL007,-32500.0,EUR,FEE0585
LN00072,INV005,2023-05-19,Capital Contribution,DEAL016,-30000.0,EUR,CALL0539
LN00073,INV005,2023-05-19,Structuring Fee,DEAL016,-1200.0,EUR,FEE1103
LN00074,INV005,2023-10-02,Capital Contribution,DEAL012,-500000.0,AED,CALL0401
LN00075,INV005,2023-10-02,Structuring Fee,DEAL012,-20000.0,AED,FEE0836
LN00076,INV005,2024-08-20,Exit Proceeds,DEAL007,893750.0,EUR,DIST0003
LN00077,INV006,2023-07-22,Capital Contribution,DEAL010,-58000.0,GBP,CALL0350
LN00078,INV006,2023-07-22,Structuring Fee,DEAL010,-2320.0,GBP,FEE0696
LN00079,INV006,2024-01-22,Capital Contribution,DEAL018,-76000.0,EUR,CALL0585
LN00080,INV006,2024-01-22,Structuring Fee,DEAL018,-3040.0,EUR,FEE1221
LN00081,INV006,2024-06-12,Capital Contribution,DEAL006,-925000.0,USD,CALL0233
LN00082,INV006,2024-06-12,Structuring Fee,DEAL006,-37000.0,USD,FEE0430
LN00083,INV006,2024-09-10,Capital Contribution,DEAL014,-500000.0,USD,CALL0440
LN00084,INV006,2024-09-10,Structuring Fee,DEAL014,-40000.0,USD,FEE0935
LN00085,INV006,2025-09-25,Capital Contribution,DEAL003,-360000.0,USD,CALL0055
LN00086,INV006,2025-09-25,Structuring Fee,DEAL003,-24000.0,USD,FEE0139
LN00087,INV006,2026-01-15,Management Fee,DEAL006,-18500.0,USD,FEE0431
LN00088,INV006,2026-01-15,Management Fee,DEAL018,-1520.0,EUR,FEE1222
LN00089,INV006,2026-01-15,Admin Fee,DEAL018,-450.0,USD,FEE1223
LN00090,INV007,2022-12-05,Capital Contribution,DEAL020,-625000.0,USD,CALL0628
LN00091,INV007,2022-12-05,Structuring Fee,DEAL020,-25000.0,USD,FEE1333
LN00092,INV007,2023-05-19,Capital Contribution,DEAL016,-775000.0,EUR,CALL0533
LN00093,INV007,2023-05-19,Structuring Fee,DEAL016,-31000.0,EUR,FEE1086
LN00094,INV007,2023-11-20,Capital Contribution,DEAL002,-41000.0,USD,CALL0038
LN00095,INV007,2023-11-20,Structuring Fee,DEAL002,-1640.0,USD,FEE0096
LN00096,INV007,2024-06-12,Capital Contribution,DEAL006,-34000.0,USD,CALL0270
LN00097,INV007,2024-09-10,Capital Contribution,DEAL014,-487500.0,USD,CALL0436
LN00098,INV007,2024-09-10,Structuring Fee,DEAL014,-39000.0,USD,FEE0930
LN00099,INV007,2025-01-10,Secondary Sale,DEAL020,397500.0,USD,DIST0017
LN00100,INV008,2021-10-30,Capital Contribution,DEAL009,-84000.0,GBP,CALL0320
LN00101,INV008,2021-10-30,Structuring Fee,DEAL009,-3360.0,GBP,FEE0614
LN00102,INV008,2023-02-10,Capital Contribution,DEAL004,-67000.0,GBP,CALL0209
LN00103,INV008,2023-02-10,Structuring Fee,DEAL004,-2010.0,GBP,FEE0369
LN00104,INV008,2023-04-14,Capital Contribution,DEAL011,-625000.0,EUR,CALL0379
LN00105,INV008,2023-04-14,Structuring Fee,DEAL011,-18750.0,EUR,FEE0776
LN00106,INV008,2023-07-22,Capital Contribution,DEAL010,-40000.0,GBP,CALL0346
LN00107,INV008,2023-07-22,Structuring Fee,DEAL010,-1600.0,GBP,FEE0685
LN00108,INV008,2024-01-22,Capital Contribution,DEAL018,-775000.0,EUR,CALL0574
LN00109,INV008,2024-01-22,Structuring Fee,DEAL018,-31000.0,EUR,FEE1195
LN00110,INV008,2024-06-12,Capital Contribution,DEAL006,-24000.0,USD,CALL0282
LN00111,INV008,2024-06-12,Structuring Fee,DEAL006,-960.0,USD,FEE0562
LN00112,INV008,2026-01-15,Management Fee,DEAL004,-670.0,GBP,FEE0370
LN00113,INV008,2026-01-15,Management Fee,DEAL006,-480.0,USD,FEE0563
LN00114,INV008,2026-01-15,Admin Fee,DEAL006,-450.0,USD,FEE0564
LN00115,INV009,2021-11-05,Capital Contribution,DEAL007,-69000.0,EUR,CALL0296
LN00116,INV009,2021-11-05,Structuring Fee,DEAL007,-3450.0,EUR,FEE0589
LN00117,INV009,2022-03-15,Capital Contribution,DEAL001,-22000.0,USD,CALL0004
LN00118,INV009,2022-03-15,Structuring Fee,DEAL001,-880.0,USD,FEE0010
LN00119,INV009,2023-07-22,Capital Contribution,DEAL010,-21000.0,GBP,CALL0371
LN00120,INV009,2023-07-22,Structuring Fee,DEAL010,-840.0,GBP,FEE0755
LN00121,INV009,2023-10-02,Capital Contribution,DEAL012,-66000.0,AED,CALL0400
LN00122,INV009,2023-11-20,Capital Contribution,DEAL002,-80000.0,USD,CALL0027
LN00123,INV009,2023-11-20,Structuring Fee,DEAL002,-3200.0,USD,FEE0064
LN00124,INV009,2024-06-12,Capital Contribution,DEAL006,-27000.0,USD,CALL0240
LN00125,INV009,2024-06-12,Structuring Fee,DEAL006,-1080.0,USD,FEE0447
LN00126,INV009,2024-08-20,Exit Proceeds,DEAL007,96600.0,EUR,DIST0007
LN00127,INV009,2026-01-15,Management Fee,DEAL001,-440.0,USD,FEE0011
LN00128,INV009,2026-01-15,Management Fee,DEAL002,-1600.0,USD,FEE0065
LN00129,INV009,2026-01-15,Admin Fee,DEAL002,-450.0,USD,FEE0066
LN00130,INV009,2026-01-15,Management Fee,DEAL006,-540.0,USD,FEE0448
LN00131,INV009,2026-01-15,Admin Fee,DEAL006,-450.0,USD,FEE0449
LN00132,INV010,2021-09-01,Capital Contribution,DEAL005,-59000.0,USD,CALL0216
LN00133,INV010,2021-09-01,Structuring Fee,DEAL005,-2950.0,USD,FEE0386
LN00134,INV010,2022-01-18,Capital Contribution,DEAL008,-43000.0,USD,CALL0304
LN00135,INV010,2022-01-18,Structuring Fee,DEAL008,-1720.0,USD,FEE0597
LN00136,INV010,2022-03-15,Capital Contribution,DEAL001,-45000.0,USD,CALL0003
LN00137,INV010,2022-03-15,Structuring Fee,DEAL001,-1800.0,USD,FEE0007
LN00138,INV010,2023-05-19,Capital Contribution,DEAL016,-38000.0,EUR,CALL0542
LN00139,INV010,2024-03-08,Capital Contribution,DEAL017,-144000.0,GBP,CALL0571
LN00140,INV010,2024-03-08,Structuring Fee,DEAL017,-5760.0,GBP,FEE1186
LN00141,INV010,2024-06-12,Capital Contribution,DEAL006,-35000.0,USD,CALL0238
LN00142,INV010,2024-06-12,Structuring Fee,DEAL006,-1400.0,USD,FEE0441
LN00143,INV010,2024-09-10,Capital Contribution,DEAL014,-87000.0,USD,CALL0448
LN00144,INV010,2024-09-10,Structuring Fee,DEAL014,-3480.0,USD,FEE0947
LN00145,INV010,2025-09-25,Capital Contribution,DEAL003,-9000.0,USD,CALL0153
LN00146,INV010,2025-09-25,Structuring Fee,DEAL003,-600.0,USD,FEE0265
LN00147,INV010,2026-01-15,Management Fee,DEAL006,-700.0,USD,FEE0442
LN00148,INV010,2026-01-15,Admin Fee,DEAL006,-450.0,USD,FEE0443
LN00149,INV010,2026-01-15,Management Fee,DEAL017,-2880.0,GBP,FEE1187
LN00150,INV010,2026-01-15,Admin Fee,DEAL017,-450.0,USD,FEE1188
LN00151,INV011,2021-11-05,Capital Contribution,DEAL007,-93000.0,EUR,CALL0290
LN00152,INV011,2021-11-05,Structuring Fee,DEAL007,-4650.0,EUR,FEE0583
LN00153,INV011,2023-02-10,Capital Contribution,DEAL004,-26000.0,GBP,CALL0188
LN00154,INV011,2023-04-14,Capital Contribution,DEAL011,-52000.0,EUR,CALL0378
LN00155,INV011,2023-04-14,Structuring Fee,DEAL011,-1560.0,EUR,FEE0773
LN00156,INV011,2024-01-22,Capital Contribution,DEAL018,-23000.0,EUR,CALL0572
LN00157,INV011,2024-01-22,Structuring Fee,DEAL018,-920.0,EUR,FEE1189
LN00158,INV011,2024-05-15,Capital Contribution,DEAL019,-34000.0,EUR,CALL0615
LN00159,INV011,2024-05-15,Structuring Fee,DEAL019,-1360.0,EUR,FEE1297
LN00160,INV011,2024-08-20,Exit Proceeds,DEAL007,127875.0,EUR,DIST0001
LN00161,INV012,2022-01-18,Capital Contribution,DEAL008,-75000.0,USD,CALL0305
LN00162,INV012,2022-01-18,Structuring Fee,DEAL008,-3000.0,USD,FEE0598
LN00163,INV012,2022-08-30,Capital Contribution,DEAL013,-76000.0,USD,CALL0409
LN00164,INV012,2022-08-30,Structuring Fee,DEAL013,-2280.0,USD,FEE0859
LN00165,INV012,2023-07-22,Capital Contribution,DEAL010,-19000.0,GBP,CALL0342
LN00166,INV012,2023-07-22,Structuring Fee,DEAL010,-570.0,GBP,FEE0674
LN00167,INV012,2024-06-12,Capital Contribution,DEAL006,-61000.0,USD,CALL0234
LN00168,INV012,2024-06-12,Structuring Fee,DEAL006,-2440.0,USD,FEE0432
LN00169,INV012,2024-09-10,Capital Contribution,DEAL014,-11000.0,USD,CALL0438
LN00170,INV012,2024-09-10,Structuring Fee,DEAL014,-880.0,USD,FEE0933
LN00171,INV012,2024-11-18,Capital Contribution,DEAL021,-92000.0,USD,CALL0647
LN00172,INV012,2024-11-18,Structuring Fee,DEAL021,-4600.0,USD,FEE1379
LN00173,INV012,2025-09-25,Capital Contribution,DEAL003,-27000.0,USD,CALL0131
LN00174,INV012,2025-09-25,Structuring Fee,DEAL003,-900.0,USD,FEE0234
LN00175,INV012,2026-01-15,Management Fee,DEAL014,-440.0,USD,FEE0934
LN00176,INV013,2022-12-05,Capital Contribution,DEAL020,-21000.0,USD,CALL0626
LN00177,INV013,2022-12-05,Structuring Fee,DEAL020,-840.0,USD,FEE1327
LN00178,INV013,2023-01-12,Capital Contribution,DEAL015,-68000.0,USD,CALL0514
LN00179,INV013,2023-01-12,Structuring Fee,DEAL015,-3400.0,USD,FEE1036
LN00180,INV013,2023-07-22,Capital Contribution,DEAL010,-25000.0,GBP,CALL0340
LN00181,INV013,2023-07-22,Structuring Fee,DEAL010,-1000.0,GBP,FEE0669
LN00182,INV013,2025-01-10,Secondary Sale,DEAL020,13356.0,USD,DIST0015
LN00183,INV013,2026-01-15,Management Fee,DEAL010,-500.0,GBP,FEE0670
LN00184,INV013,2026-01-15,Admin Fee,DEAL010,-450.0,USD,FEE0671
LN00185,INV013,2026-01-15,Management Fee,DEAL015,-1360.0,USD,FEE1037
LN00186,INV013,2026-01-15,Admin Fee,DEAL015,-450.0,USD,FEE1038
LN00187,INV014,2021-09-01,Capital Contribution,DEAL005,-21000.0,USD,CALL0218
LN00188,INV014,2022-01-18,Capital Contribution,DEAL008,-111000.0,USD,CALL0315
LN00189,INV014,2022-01-18,Structuring Fee,DEAL008,-4440.0,USD,FEE0608
LN00190,INV014,2022-03-15,Capital Contribution,DEAL001,-14000.0,USD,CALL0022
LN00191,INV014,2022-03-15,Structuring Fee,DEAL001,-560.0,USD,FEE0050
LN00192,INV014,2022-12-05,Capital Contribution,DEAL020,-45000.0,USD,CALL0641
LN00193,INV014,2023-01-12,Capital Contribution,DEAL015,-69000.0,USD,CALL0518
LN00194,INV014,2023-01-12,Structuring Fee,DEAL015,-3450.0,USD,FEE1046
LN00195,INV014,2023-04-14,Capital Contribution,DEAL011,-43000.0,EUR,CALL0377
LN00196,INV014,2023-04-14,Structuring Fee,DEAL011,-1290.0,EUR,FEE0770
LN00197,INV014,2023-05-19,Capital Contribution,DEAL016,-56000.0,EUR,CALL0531
LN00198,INV014,2023-05-19,Structuring Fee,DEAL016,-2240.0,EUR,FEE1081
LN00199,INV014,2024-01-22,Capital Contribution,DEAL018,-57000.0,EUR,CALL0573
LN00200,INV014,2024-01-22,Structuring Fee,DEAL018,-2280.0,EUR,FEE1192
LN00201,INV014,2024-05-15,Capital Contribution,DEAL019,-52000.0,EUR,CALL0616
LN00202,INV014,2024-05-15,Structuring Fee,DEAL019,-2080.0,EUR,FEE1300
LN00203,INV014,2025-01-10,Secondary Sale,DEAL020,29565.0,USD,DIST0030
LN00204,INV014,2026-01-15,Management Fee,DEAL018,-1140.0,EUR,FEE1193
LN00205,INV014,2026-01-15,Admin Fee,DEAL018,-450.0,USD,FEE1194
LN00206,INV014,2026-01-15,Management Fee,DEAL019,-780.0,EUR,FEE1301
LN00207,INV014,2026-01-15,Admin Fee,DEAL019,-450.0,USD,FEE1302
LN00208,INV014,2026-01-15,Management Fee,DEAL020,-900.0,USD,FEE1367
LN00209,INV015,2021-10-30,Capital Contribution,DEAL009,-17000.0,GBP,CALL0329
LN00210,INV015,2021-10-30,Structuring Fee,DEAL009,-680.0,GBP,FEE0637
LN00211,INV015,2021-11-05,Capital Contribution,DEAL007,-63000.0,EUR,CALL0300
LN00212,INV015,2021-11-05,Structuring Fee,DEAL007,-3150.0,EUR,FEE0593
LN00213,INV015,2022-01-18,Capital Contribution,DEAL008,-17000.0,USD,CALL0317
LN00214,INV015,2022-01-18,Structuring Fee,DEAL008,-680.0,USD,FEE0610
LN00215,INV015,2022-03-15,Capital Contribution,DEAL001,-40000.0,USD,CALL0019
LN00216,INV015,2022-03-15,Structuring Fee,DEAL001,-1600.0,USD,FEE0041
LN00217,INV015,2022-08-30,Capital Contribution,DEAL013,-16000.0,USD,CALL0410
LN00218,INV015,2022-08-30,Structuring Fee,DEAL013,-640.0,USD,FEE0861
LN00219,INV015,2022-12-05,Capital Contribution,DEAL020,-13000.0,USD,CALL0627
LN00220,INV015,2022-12-05,Structuring Fee,DEAL020,-520.0,USD,FEE1330
LN00221,INV015,2023-07-22,Capital Contribution,DEAL010,-62000.0,GBP,CALL0352
LN00222,INV015,2023-07-22,Structuring Fee,DEAL010,-2480.0,GBP,FEE0702
LN00223,INV015,2023-11-20,Capital Contribution,DEAL002,-30000.0,USD,CALL0028
LN00224,INV015,2023-11-20,Structuring Fee,DEAL002,-1200.0,USD,FEE0067
LN00225,INV015,2024-06-12,Capital Contribution,DEAL006,-30000.0,USD,CALL0255
LN00226,INV015,2024-06-12,Structuring Fee,DEAL006,-600.0,USD,FEE0492
LN00227,INV015,2024-08-20,Exit Proceeds,DEAL007,86625.0,EUR,DIST0011
LN00228,INV015,2025-01-10,Secondary Sale,DEAL020,8268.0,USD,DIST0016
LN00229,INV015,2026-01-15,Management Fee,DEAL013,-320.0,USD,FEE0862
LN00230,INV015,2026-01-15,Admin Fee,DEAL013,-450.0,USD,FEE0863
LN00231,INV015,2026-01-15,Management Fee,DEAL020,-260.0,USD,FEE1331
LN00232,INV015,2026-01-15,Admin Fee,DEAL020,-450.0,USD,FEE1332
LN00233,INV016,2021-11-05,Capital Contribution,DEAL007,-47000.0,EUR,CALL0291
LN00234,INV016,2021-11-05,Structuring Fee,DEAL007,-2350.0,EUR,FEE0584
LN00235,INV016,2023-05-19,Capital Contribution,DEAL016,-25000.0,EUR,CALL0532
LN00236,INV016,2023-05-19,Structuring Fee,DEAL016,-1000.0,EUR,FEE1083
LN00237,INV016,2024-05-15,Capital Contribution,DEAL019,-32000.0,EUR,CALL0614
LN00238,INV016,2024-05-15,Structuring Fee,DEAL019,-1280.0,EUR,FEE1294
LN00239,INV016,2024-08-20,Exit Proceeds,DEAL007,64625.0,EUR,DIST0002
LN00240,INV016,2026-01-15,Management Fee,DEAL016,-625.0,EUR,FEE1084
LN00241,INV016,2026-01-15,Admin Fee,DEAL016,-450.0,USD,FEE1085
LN00242,INV016,2026-01-15,Management Fee,DEAL019,-640.0,EUR,FEE1295
LN00243,INV016,2026-01-15,Admin Fee,DEAL019,-450.0,USD,FEE1296
LN00244,INV017,2021-10-30,Capital Contribution,DEAL009,-44000.0,GBP,CALL0321
LN00245,INV017,2021-10-30,Structuring Fee,DEAL009,-1320.0,GBP,FEE0617
LN00246,INV017,2022-01-18,Capital Contribution,DEAL008,-59000.0,USD,CALL0311
LN00247,INV017,2022-01-18,Structuring Fee,DEAL008,-2360.0,USD,FEE0604
LN00248,INV017,2022-08-30,Capital Contribution,DEAL013,-110000.0,USD,CALL0426
LN00249,INV017,2022-08-30,Structuring Fee,DEAL013,-4400.0,USD,FEE0902
LN00250,INV017,2022-12-05,Capital Contribution,DEAL020,-35000.0,USD,CALL0643
LN00251,INV017,2022-12-05,Structuring Fee,DEAL020,-700.0,USD,FEE1369
LN00252,INV017,2023-01-12,Capital Contribution,DEAL015,-48000.0,USD,CALL0519
LN00253,INV017,2023-02-10,Capital Contribution,DEAL004,-29000.0,GBP,CALL0186
LN00254,INV017,2023-02-10,Structuring Fee,DEAL004,-870.0,GBP,FEE0312
LN00255,INV017,2023-11-20,Capital Contribution,DEAL002,-17000.0,USD,CALL0031
LN00256,INV017,2023-11-20,Structuring Fee,DEAL002,-340.0,USD,FEE0076
LN00257,INV017,2024-01-22,Capital Contribution,DEAL018,-23000.0,EUR,CALL0575
LN00258,INV017,2024-01-22,Structuring Fee,DEAL018,-920.0,EUR,FEE1198
LN00259,INV017,2024-03-08,Capital Contribution,DEAL017,-62000.0,GBP,CALL0559
LN00260,INV017,2024-03-08,Structuring Fee,DEAL017,-2480.0,GBP,FEE1156
LN00261,INV017,2024-06-12,Capital Contribution,DEAL006,-34000.0,USD,CALL0271
LN00262,INV017,2024-06-12,Structuring Fee,DEAL006,-680.0,USD,FEE0535
LN00263,INV017,2024-09-10,Capital Contribution,DEAL014,-39000.0,USD,CALL0494
LN00264,INV017,2025-01-10,Secondary Sale,DEAL020,22260.0,USD,DIST0032
LN00265,INV017,2025-09-25,Capital Contribution,DEAL003,-12000.0,USD,CALL0101
LN00266,INV017,2025-09-25,Structuring Fee,DEAL003,-800.0,USD,FEE0198
LN00267,INV017,2026-01-15,Management Fee,DEAL002,-255.0,USD,FEE0077
LN00268,INV017,2026-01-15,Management Fee,DEAL015,-960.0,USD,FEE1049
LN00269,INV017,2026-01-15,Admin Fee,DEAL015,-450.0,USD,FEE1050
LN00270,INV017,2026-01-15,Management Fee,DEAL017,-1240.0,GBP,FEE1157
LN00271,INV017,2026-01-15,Admin Fee,DEAL017,-450.0,USD,FEE1158
LN00272,INV017,2026-01-15,Management Fee,DEAL018,-460.0,EUR,FEE1199
LN00273,INV017,2026-01-15,Admin Fee,DEAL018,-450.0,USD,FEE1200
LN00274,INV018,2022-08-30,Capital Contribution,DEAL013,-69000.0,USD,CALL0411
LN00275,INV018,2022-08-30,Structuring Fee,DEAL013,-2760.0,USD,FEE0864
LN00276,INV018,2022-12-05,Capital Contribution,DEAL020,-26000.0,USD,CALL0645
LN00277,INV018,2022-12-05,Structuring Fee,DEAL020,-1040.0,USD,FEE1374
LN00278,INV018,2023-07-22,Capital Contribution,DEAL010,-79000.0,GBP,CALL0341
LN00279,INV018,2023-07-22,Structuring Fee,DEAL010,-3160.0,GBP,FEE0672
LN00280,INV018,2024-01-22,Capital Contribution,DEAL018,-48000.0,EUR,CALL0584
LN00281,INV018,2024-01-22,Structuring Fee,DEAL018,-1920.0,EUR,FEE1219
LN00282,INV018,2024-03-08,Capital Contribution,DEAL017,-102000.0,GBP,CALL0570
LN00283,INV018,2024-03-08,Structuring Fee,DEAL017,-2040.0,GBP,FEE1184
LN00284,INV018,2024-05-15,Capital Contribution,DEAL019,-60000.0,EUR,CALL0623
LN00285,INV018,2024-05-15,Structuring Fee,DEAL019,-2400.0,EUR,FEE1319
LN00286,INV018,2024-06-12,Capital Contribution,DEAL006,-47000.0,USD,CALL0274
LN00287,INV018,2024-06-12,Structuring Fee,DEAL006,-1880.0,USD,FEE0540
LN00288,INV018,2024-09-10,Capital Contribution,DEAL014,-19000.0,USD,CALL0458
LN00289,INV018,2024-09-10,Structuring Fee,DEAL014,-1520.0,USD,FEE0962
LN00290,INV018,2024-11-18,Capital Contribution,DEAL021,-67000.0,USD,CALL0646
LN00291,INV018,2024-11-18,Structuring Fee,DEAL021,-2680.0,USD,FEE1376
LN00292,INV018,2025-01-10,Secondary Sale,DEAL020,17082.0,USD,DIST0034
LN00293,INV018,2025-09-25,Capital Contribution,DEAL003,-25800.0,USD,CALL0059
LN00294,INV018,2025-09-25,Structuring Fee,DEAL003,-1720.0,USD,FEE0142
LN00295,INV018,2026-01-15,Management Fee,DEAL003,-430.0,USD,FEE0143
LN00296,INV018,2026-01-15,Admin Fee,DEAL003,-450.0,USD,FEE0144
LN00297,INV019,2022-03-15,Capital Contribution,DEAL001,-59000.0,USD,CALL0018
LN00298,INV019,2022-03-15,Structuring Fee,DEAL001,-2360.0,USD,FEE0039
LN00299,INV019,2022-08-30,Capital Contribution,DEAL013,-31000.0,USD,CALL0412
LN00300,INV019,2022-08-30,Structuring Fee,DEAL013,-1240.0,USD,FEE0867
LN00301,INV019,2022-12-05,Capital Contribution,DEAL020,-49000.0,USD,CALL0629
LN00302,INV019,2023-02-10,Capital Contribution,DEAL004,-16000.0,GBP,CALL0200
LN00303,INV019,2023-02-10,Structuring Fee,DEAL004,-480.0,GBP,FEE0344
LN00304,INV019,2023-04-14,Capital Contribution,DEAL011,-30000.0,EUR,CALL0382
LN00305,INV019,2023-04-14,Structuring Fee,DEAL011,-900.0,EUR,FEE0785
LN00306,INV019,2024-03-08,Capital Contribution,DEAL017,-39000.0,GBP,CALL0561
LN00307,INV019,2024-03-08,Structuring Fee,DEAL017,-1560.0,GBP,FEE1162
LN00308,INV019,2024-06-12,Capital Contribution,DEAL006,-74000.0,USD,CALL0254
LN00309,INV019,2024-06-12,Structuring Fee,DEAL006,-2960.0,USD,FEE0489
LN00310,INV019,2025-01-10,Secondary Sale,DEAL020,31164.0,USD,DIST0018
LN00311,INV019,2025-09-25,Capital Contribution,DEAL003,-142800.0,USD,CALL0125
