fee_id,allocation_id,investor_id,deal_id,fee_type,period,fee_rate_pct,basis,amount,currency,due_date,status
FEE0053,ALC0023,INV040,DEAL001,Structuring Fee,2022,3.0,Commitment,900.0,USD,2022-03-15,Paid
FEE0054,ALC0023,INV040,DEAL001,Management Fee,2026,1.5,Commitment,450.0,USD,2026-05-01,Overdue
FEE0055,ALC0024,INV001,DEAL002,Structuring Fee,2023,4.0,Commitment,1400.0,USD,2023-11-20,Paid
FEE0056,ALC0024,INV001,DEAL002,Management Fee,2026,2.0,Commitment,700.0,USD,2026-07-15,Upcoming
FEE0057,ALC0024,INV001,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0058,ALC0025,INV003,DEAL002,Structuring Fee,2023,4.0,Commitment,39000.0,USD,2023-11-20,Paid
FEE0059,ALC0025,INV003,DEAL002,Management Fee,2026,2.0,Commitment,19500.0,USD,2026-01-15,Paid
FEE0060,ALC0025,INV003,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0061,ALC0026,INV004,DEAL002,Structuring Fee,2023,4.0,Commitment,30000.0,USD,2023-11-20,Paid
FEE0062,ALC0026,INV004,DEAL002,Management Fee,2026,2.0,Commitment,15000.0,USD,2026-07-15,Upcoming
FEE0063,ALC0026,INV004,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0064,ALC0027,INV009,DEAL002,Structuring Fee,2023,4.0,Commitment,3200.0,USD,2023-11-20,Paid
FEE0065,ALC0027,INV009,DEAL002,Management Fee,2026,2.0,Commitment,1600.0,USD,2026-01-15,Paid
FEE0066,ALC0027,INV009,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0067,ALC0028,INV015,DEAL002,Structuring Fee,2023,4.0,Commitment,1200.0,USD,2023-11-20,Paid
FEE0068,ALC0028,INV015,DEAL002,Management Fee,2026,2.0,Commitment,600.0,USD,2026-07-15,Upcoming
FEE0069,ALC0028,INV015,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0070,ALC0029,INV093,DEAL002,Structuring Fee,2023,4.0,Commitment,1280.0,USD,2023-11-20,Paid
FEE0071,ALC0029,INV093,DEAL002,Management Fee,2026,2.0,Commitment,640.0,USD,2026-01-15,Paid
FEE0072,ALC0029,INV093,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0073,ALC0030,INV107,DEAL002,Structuring Fee,2023,4.0,Commitment,4960.0,USD,2023-11-20,Paid
FEE0074,ALC0030,INV107,DEAL002,Management Fee,2026,2.0,Commitment,2480.0,USD,2026-07-15,Upcoming
FEE0075,ALC0030,INV107,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0076,ALC0031,INV017,DEAL002,Structuring Fee,2023,2.0,Commitment,340.0,USD,2023-11-20,Paid
FEE0077,ALC0031,INV017,DEAL002,Management Fee,2026,1.5,Commitment,255.0,USD,2026-01-15,Paid
FEE0078,ALC0032,INV091,DEAL002,Structuring Fee,2023,4.0,Commitment,2040.0,USD,2023-11-20,Paid
FEE0079,ALC0032,INV091,DEAL002,Management Fee,2026,2.0,Commitment,1020.0,USD,2026-07-15,Upcoming
FEE0080,ALC0032,INV091,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0081,ALC0033,INV082,DEAL002,Structuring Fee,2023,4.0,Commitment,960.0,USD,2023-11-20,Paid
FEE0082,ALC0033,INV082,DEAL002,Management Fee,2026,2.0,Commitment,480.0,USD,2026-01-15,Paid
FEE0083,ALC0033,INV082,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0084,ALC0034,INV096,DEAL002,Structuring Fee,2023,4.0,Commitment,2120.0,USD,2023-11-20,Paid
FEE0085,ALC0034,INV096,DEAL002,Management Fee,2026,1.5,Commitment,795.0,USD,2026-07-15,Upcoming
FEE0086,ALC0034,INV096,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0087,ALC0035,INV033,DEAL002,Structuring Fee,2023,4.0,Commitment,1680.0,USD,2023-11-20,Paid
FEE0088,ALC0035,INV033,DEAL002,Management Fee,2026,2.0,Commitment,840.0,USD,2026-01-15,Paid
FEE0089,ALC0035,INV033,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0090,ALC0036,INV048,DEAL002,Structuring Fee,2023,4.0,Commitment,1920.0,USD,2023-11-20,Paid
FEE0091,ALC0036,INV048,DEAL002,Management Fee,2026,2.0,Commitment,960.0,USD,2026-07-15,Upcoming
FEE0092,ALC0036,INV048,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0093,ALC0037,INV103,DEAL002,Structuring Fee,2023,4.0,Commitment,2880.0,USD,2023-11-20,Paid
FEE0094,ALC0037,INV103,DEAL002,Management Fee,2026,2.0,Commitment,1440.0,USD,2026-01-15,Paid
FEE0095,ALC0037,INV103,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0096,ALC0038,INV007,DEAL002,Structuring Fee,2023,4.0,Commitment,1640.0,USD,2023-11-20,Paid
FEE0097,ALC0038,INV007,DEAL002,Management Fee,2026,2.0,Commitment,820.0,USD,2026-07-15,Upcoming
FEE0098,ALC0038,INV007,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0099,ALC0039,INV112,DEAL002,Structuring Fee,2023,4.0,Commitment,640.0,USD,2023-11-20,Paid
FEE0100,ALC0039,INV112,DEAL002,Management Fee,2026,2.0,Commitment,320.0,USD,2026-01-15,Paid
FEE0101,ALC0039,INV112,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0102,ALC0040,INV101,DEAL002,Structuring Fee,2023,4.0,Commitment,4160.0,USD,2023-11-20,Paid
FEE0103,ALC0040,INV101,DEAL002,Management Fee,2026,2.0,Commitment,2080.0,USD,2026-07-15,Upcoming
FEE0104,ALC0040,INV101,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0105,ALC0041,INV104,DEAL002,Structuring Fee,2023,4.0,Commitment,1080.0,USD,2023-11-20,Paid
FEE0106,ALC0041,INV104,DEAL002,Management Fee,2026,2.0,Commitment,540.0,USD,2026-01-15,Paid
FEE0107,ALC0041,INV104,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0108,ALC0042,INV090,DEAL002,Structuring Fee,2023,4.0,Commitment,1160.0,USD,2023-11-20,Paid
FEE0109,ALC0042,INV090,DEAL002,Management Fee,2026,2.0,Commitment,580.0,USD,2026-07-15,Upcoming
FEE0110,ALC0042,INV090,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0111,ALC0043,INV059,DEAL002,Structuring Fee,2023,4.0,Commitment,2200.0,USD,2023-11-20,Paid
FEE0112,ALC0043,INV059,DEAL002,Management Fee,2026,2.0,Commitment,1100.0,USD,2026-01-15,Paid
FEE0113,ALC0043,INV059,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0114,ALC0044,INV062,DEAL002,Structuring Fee,2023,4.0,Commitment,520.0,USD,2023-11-20,Paid
FEE0115,ALC0044,INV062,DEAL002,Management Fee,2026,2.0,Commitment,260.0,USD,2026-07-15,Upcoming
FEE0116,ALC0044,INV062,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0117,ALC0045,INV089,DEAL002,Structuring Fee,2023,4.0,Commitment,2640.0,USD,2023-11-20,Paid
FEE0118,ALC0045,INV089,DEAL002,Management Fee,2026,2.0,Commitment,1320.0,USD,2026-01-15,Paid
FEE0119,ALC0045,INV089,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0120,ALC0046,INV058,DEAL002,Structuring Fee,2023,2.0,Commitment,600.0,USD,2023-11-20,Paid
FEE0121,ALC0046,INV058,DEAL002,Management Fee,2026,2.0,Commitment,600.0,USD,2026-07-15,Upcoming
FEE0122,ALC0046,INV058,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0123,ALC0047,INV078,DEAL002,Structuring Fee,2023,4.0,Commitment,1720.0,USD,2023-11-20,Paid
FEE0124,ALC0047,INV078,DEAL002,Management Fee,2026,2.0,Commitment,860.0,USD,2026-01-15,Paid
FEE0125,ALC0047,INV078,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0126,ALC0048,INV052,DEAL002,Structuring Fee,2023,4.0,Commitment,8200.0,USD,2023-11-20,Paid
FEE0127,ALC0048,INV052,DEAL002,Management Fee,2026,2.0,Commitment,4100.0,USD,2026-07-15,Upcoming
FEE0128,ALC0048,INV052,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0129,ALC0049,INV002,DEAL002,Structuring Fee,2023,4.0,Commitment,920.0,USD,2023-11-20,Paid
FEE0130,ALC0049,INV002,DEAL002,Management Fee,2026,2.0,Commitment,460.0,USD,2026-01-15,Paid
FEE0131,ALC0049,INV002,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0132,ALC0050,INV020,DEAL002,Structuring Fee,2023,4.0,Commitment,600.0,USD,2023-11-20,Paid
FEE0133,ALC0050,INV020,DEAL002,Management Fee,2026,2.0,Commitment,300.0,USD,2026-07-15,Upcoming
FEE0134,ALC0050,INV020,DEAL002,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0135,ALC0051,INV003,DEAL003,Structuring Fee,2025,4.0,Commitment,38000.0,USD,2025-09-25,Paid
FEE0136,ALC0051,INV003,DEAL003,Management Fee,2026,2.0,Commitment,19000.0,USD,2026-01-15,Paid
FEE0137,ALC0051,INV003,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0138,ALC0052,INV001,DEAL003,Management Fee,2026,2.0,Commitment,520.0,USD,2026-05-01,Overdue
FEE0139,ALC0053,INV006,DEAL003,Structuring Fee,2025,4.0,Commitment,24000.0,USD,2025-09-25,Paid
FEE0140,ALC0053,INV006,DEAL003,Management Fee,2026,2.0,Commitment,12000.0,USD,2026-07-15,Upcoming
FEE0141,ALC0053,INV006,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0142,ALC0055,INV018,DEAL003,Structuring Fee,2025,4.0,Commitment,1720.0,USD,2025-09-25,Paid
FEE0143,ALC0055,INV018,DEAL003,Management Fee,2026,1.0,Commitment,430.0,USD,2026-01-15,Paid
FEE0144,ALC0055,INV018,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0145,ALC0056,INV084,DEAL003,Structuring Fee,2025,4.0,Commitment,3440.0,USD,2025-09-25,Paid
FEE0146,ALC0056,INV084,DEAL003,Management Fee,2026,2.0,Commitment,1720.0,USD,2026-07-15,Upcoming
FEE0147,ALC0056,INV084,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0148,ALC0057,INV052,DEAL003,Structuring Fee,2025,4.0,Commitment,1320.0,USD,2025-09-25,Paid
FEE0149,ALC0058,INV069,DEAL003,Structuring Fee,2025,4.0,Commitment,1760.0,USD,2025-09-25,Paid
FEE0150,ALC0058,INV069,DEAL003,Management Fee,2026,2.0,Commitment,880.0,USD,2026-05-01,Overdue
FEE0151,ALC0058,INV069,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-05-01,Overdue
FEE0152,ALC0059,INV112,DEAL003,Structuring Fee,2025,4.0,Commitment,1680.0,USD,2025-09-25,Paid
FEE0153,ALC0059,INV112,DEAL003,Management Fee,2026,2.0,Commitment,840.0,USD,2026-07-15,Upcoming
FEE0154,ALC0059,INV112,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0155,ALC0060,INV097,DEAL003,Structuring Fee,2025,4.0,Commitment,1960.0,USD,2025-09-25,Paid
FEE0156,ALC0060,INV097,DEAL003,Management Fee,2026,2.0,Commitment,980.0,USD,2026-05-01,Overdue
FEE0157,ALC0060,INV097,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-05-01,Overdue
FEE0158,ALC0061,INV004,DEAL003,Structuring Fee,2025,2.0,Commitment,440.0,USD,2025-09-25,Paid
FEE0159,ALC0061,INV004,DEAL003,Management Fee,2026,2.0,Commitment,440.0,USD,2026-07-15,Upcoming
FEE0160,ALC0061,INV004,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0161,ALC0062,INV093,DEAL003,Structuring Fee,2025,2.0,Commitment,640.0,USD,2025-09-25,Paid
FEE0162,ALC0062,INV093,DEAL003,Management Fee,2026,1.5,Commitment,480.0,USD,2026-05-01,Overdue
FEE0163,ALC0063,INV066,DEAL003,Structuring Fee,2025,2.0,Commitment,760.0,USD,2025-09-25,Paid
FEE0164,ALC0063,INV066,DEAL003,Management Fee,2026,2.0,Commitment,760.0,USD,2026-07-15,Upcoming
FEE0165,ALC0063,INV066,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0166,ALC0064,INV089,DEAL003,Structuring Fee,2025,4.0,Commitment,960.0,USD,2025-09-25,Paid
FEE0167,ALC0064,INV089,DEAL003,Management Fee,2026,2.0,Commitment,480.0,USD,2026-01-15,Paid
FEE0168,ALC0064,INV089,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0169,ALC0065,INV002,DEAL003,Structuring Fee,2025,2.0,Commitment,800.0,USD,2025-09-25,Paid
FEE0170,ALC0066,INV036,DEAL003,Structuring Fee,2025,4.0,Commitment,1040.0,USD,2025-09-25,Paid
FEE0171,ALC0066,INV036,DEAL003,Management Fee,2026,2.0,Commitment,520.0,USD,2026-07-15,Upcoming
FEE0172,ALC0066,INV036,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0173,ALC0067,INV063,DEAL003,Structuring Fee,2025,4.0,Commitment,2800.0,USD,2025-09-25,Paid
FEE0174,ALC0067,INV063,DEAL003,Management Fee,2026,2.0,Commitment,1400.0,USD,2026-05-01,Overdue
FEE0175,ALC0067,INV063,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-05-01,Overdue
FEE0176,ALC0068,INV104,DEAL003,Structuring Fee,2025,4.0,Commitment,2320.0,USD,2025-09-25,Paid
FEE0177,ALC0068,INV104,DEAL003,Management Fee,2026,2.0,Commitment,1160.0,USD,2026-07-15,Upcoming
FEE0178,ALC0068,INV104,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0179,ALC0069,INV065,DEAL003,Structuring Fee,2025,4.0,Commitment,3560.0,USD,2025-09-25,Paid
FEE0180,ALC0069,INV065,DEAL003,Management Fee,2026,2.0,Commitment,1780.0,USD,2026-05-01,Overdue
FEE0181,ALC0069,INV065,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-05-01,Overdue
FEE0182,ALC0070,INV101,DEAL003,Structuring Fee,2025,4.0,Commitment,1600.0,USD,2025-09-25,Paid
FEE0183,ALC0070,INV101,DEAL003,Management Fee,2026,2.0,Commitment,800.0,USD,2026-07-15,Upcoming
FEE0184,ALC0070,INV101,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0185,ALC0071,INV077,DEAL003,Structuring Fee,2025,4.0,Commitment,4560.0,USD,2025-09-25,Paid
FEE0186,ALC0071,INV077,DEAL003,Management Fee,2026,2.0,Commitment,2280.0,USD,2026-05-01,Overdue
FEE0187,ALC0071,INV077,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-05-01,Overdue
FEE0188,ALC0072,INV031,DEAL003,Structuring Fee,2025,4.0,Commitment,2800.0,USD,2025-09-25,Paid
FEE0189,ALC0072,INV031,DEAL003,Management Fee,2026,2.0,Commitment,1400.0,USD,2026-07-15,Upcoming
FEE0190,ALC0072,INV031,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0191,ALC0073,INV096,DEAL003,Structuring Fee,2025,4.0,Commitment,1480.0,USD,2025-09-25,Paid
FEE0192,ALC0073,INV096,DEAL003,Management Fee,2026,2.0,Commitment,740.0,USD,2026-05-01,Overdue
FEE0193,ALC0074,INV056,DEAL003,Structuring Fee,2025,4.0,Commitment,3080.0,USD,2025-09-25,Paid
FEE0194,ALC0074,INV056,DEAL003,Management Fee,2026,2.0,Commitment,1540.0,USD,2026-07-15,Upcoming
FEE0195,ALC0074,INV056,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0196,ALC0075,INV087,DEAL003,Structuring Fee,2025,4.0,Commitment,1040.0,USD,2025-09-25,Paid
FEE0197,ALC0075,INV087,DEAL003,Management Fee,2026,1.0,Commitment,260.0,USD,2026-01-15,Paid
FEE0198,ALC0076,INV017,DEAL003,Structuring Fee,2025,4.0,Commitment,800.0,USD,2025-09-25,Paid
FEE0199,ALC0076,INV017,DEAL003,Management Fee,2026,2.0,Commitment,400.0,USD,2026-07-15,Upcoming
FEE0200,ALC0076,INV017,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0201,ALC0077,INV090,DEAL003,Structuring Fee,2025,4.0,Commitment,1520.0,USD,2025-09-25,Paid
FEE0202,ALC0078,INV033,DEAL003,Structuring Fee,2025,4.0,Commitment,1840.0,USD,2025-09-25,Paid
FEE0203,ALC0078,INV033,DEAL003,Management Fee,2026,2.0,Commitment,920.0,USD,2026-01-15,Paid
FEE0204,ALC0078,INV033,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0205,ALC0079,INV062,DEAL003,Structuring Fee,2025,4.0,Commitment,2080.0,USD,2025-09-25,Paid
FEE0206,ALC0079,INV062,DEAL003,Management Fee,2026,2.0,Commitment,1040.0,USD,2026-07-15,Upcoming
FEE0207,ALC0079,INV062,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0208,ALC0080,INV040,DEAL003,Structuring Fee,2025,4.0,Commitment,800.0,USD,2025-09-25,Paid
FEE0209,ALC0080,INV040,DEAL003,Management Fee,2026,2.0,Commitment,400.0,USD,2026-01-15,Paid
FEE0210,ALC0080,INV040,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0211,ALC0081,INV026,DEAL003,Management Fee,2026,2.0,Commitment,940.0,USD,2026-07-15,Upcoming
FEE0212,ALC0082,INV053,DEAL003,Management Fee,2026,1.5,Commitment,675.0,USD,2026-07-15,Upcoming
FEE0213,ALC0083,INV109,DEAL003,Structuring Fee,2025,4.0,Commitment,1840.0,USD,2025-09-25,Paid
FEE0214,ALC0083,INV109,DEAL003,Management Fee,2026,2.0,Commitment,920.0,USD,2026-01-15,Paid
FEE0215,ALC0083,INV109,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0216,ALC0084,INV058,DEAL003,Structuring Fee,2025,4.0,Commitment,1720.0,USD,2025-09-25,Paid
FEE0217,ALC0084,INV058,DEAL003,Management Fee,2026,2.0,Commitment,860.0,USD,2026-07-15,Upcoming
FEE0218,ALC0084,INV058,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0219,ALC0085,INV050,DEAL003,Management Fee,2026,1.5,Commitment,150.0,USD,2026-07-15,Upcoming
FEE0220,ALC0086,INV034,DEAL003,Structuring Fee,2025,4.0,Commitment,1720.0,USD,2025-09-25,Paid
FEE0221,ALC0086,INV034,DEAL003,Management Fee,2026,2.0,Commitment,860.0,USD,2026-01-15,Paid
FEE0222,ALC0086,INV034,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0223,ALC0087,INV085,DEAL003,Structuring Fee,2025,3.0,Commitment,3000.0,USD,2025-09-25,Paid
FEE0224,ALC0087,INV085,DEAL003,Management Fee,2026,2.0,Commitment,2000.0,USD,2026-07-15,Upcoming
FEE0225,ALC0087,INV085,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0226,ALC0088,INV019,DEAL003,Structuring Fee,2025,4.0,Commitment,9520.0,USD,2025-09-25,Paid
FEE0227,ALC0088,INV019,DEAL003,Management Fee,2026,2.0,Commitment,4760.0,USD,2026-01-15,Paid
FEE0228,ALC0089,INV081,DEAL003,Structuring Fee,2025,4.0,Commitment,720.0,USD,2025-09-25,Paid
FEE0229,ALC0089,INV081,DEAL003,Management Fee,2026,2.0,Commitment,360.0,USD,2026-07-15,Upcoming
FEE0230,ALC0089,INV081,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0231,ALC0090,INV041,DEAL003,Structuring Fee,2025,4.0,Commitment,2040.0,USD,2025-09-25,Paid
FEE0232,ALC0090,INV041,DEAL003,Management Fee,2026,2.0,Commitment,1020.0,USD,2026-01-15,Paid
FEE0233,ALC0090,INV041,DEAL003,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0234,ALC0091,INV012,DEAL003,Structuring Fee,2025,2.0,Commitment,900.0,USD,2025-09-25,Paid
FEE0235,ALC0091,INV012,DEAL003,Management Fee,2026,2.0,Commitment,900.0,USD,2026-07-15,Upcoming
